Fecha | ID | Estado | Agente | Nombre Entidad
--------------------------------------------------------------------------------
1998-12-30 | 19981231907 | Delinquent      | Latoia Johnson            | 21ST CENTURY MOBILE ELECTRONICS, INC., Delinquent March 1, 2022
2007-01-15 | 20071020214 | Delinquent      | Latoia Johnson            | 21st Century Professionals Corp, Delinquent March 1, 2022
2007-03-27 | 20071152214 | Delinquent      | Dana Harris               | LEISURE ENTERPRISES INC., Delinquent March 1, 2022
2011-05-02 | 20111261878 | Delinquent      | Daniel White              | QC Consulting Group, Inc., Delinquent March 1, 2022
2017-04-12 | 20171285678 | Delinquent      | Terry Harb                | KEYSTONE SUPPORT SERVICES INC., Delinquent December 1, 2023
2017-04-12 | 20171285723 | Delinquent      | Khalid Waheed             | MANPOWER QUALITY RESOURCES INC., Delinquent March 1, 2020
2017-04-12 | 20171285583 | Delinquent      | LOREN JOHNSON             | OAKWOOD BUSINESS GROUP INC., Delinquent November 1, 2020
2017-04-12 | 20171285754 | Delinquent      | Edward Hidalgo            | MULTIGROUP EXPERT SOLUTIONS INC., Delinquent September 1, 2019
2017-04-12 | 20171285765 | Delinquent      | John Giraud               | NORTHSTAR BUSINESS GROUP INC., Delinquent June 1, 2022
2017-04-12 | 20171285832 | Delinquent      | Carlos Frazier            | BLACKOAK EXPERT SERVICES INC., Delinquent March 1, 2022
2017-04-12 | 20171285842 | Delinquent      | BERNARD BUSH              | SKYROCKET BUSINESS GROUP INC., Delinquent February 1, 2020
2017-04-12 | 20171285794 | Delinquent      | Murray Musgrove           | TECHNO SOLUTIONS GROUP INC., Delinquent November 1, 2023
2017-04-12 | 20171285789 | Delinquent      | BEVERLY MUSGROVE          | SYSTEM STAR SOLUTIONS INC., Delinquent March 1, 2024
2017-04-12 | 20171285702 | Delinquent      | Fred Mcbeth               | BLUECELL TECHNICAL SERVICES INC., Delinquent November 1, 2020
2017-04-12 | 20171285715 | Delinquent      | Donald Hughes             | EXPRESS SOLUTIONS GROUP INC., Delinquent April 1, 2020
2017-04-12 | 20171285731 | Delinquent      | CLYDE MAYNARD             | MAX SOLUTION TECHNOLOGIES INC., Delinquent May 1, 2020
2017-04-12 | 20171285745 | Delinquent      | JEROME THOMAS             | MEGASOURCE ONLINE SYSTEMS INC., Delinquent August 1, 2020
2017-04-12 | 20171285807 | Delinquent      | Lorenzo Madrid            | SKYHIGH CREATIVE SYSTEMS INC., Delinquent April 1, 2020
2017-04-12 | 20171285817 | Delinquent      | JOSHUA CULBERTSON         | DATA SOLUTIONS GROUP INC., Delinquent April 1, 2020
2017-04-12 | 20171285835 | Delinquent      | Erik Brown                | SMARTBOX DATA TECHNOLOGIES INC., Delinquent March 1, 2020
2017-04-12 | 20171285840 | Delinquent      | IJAZ AHMED                | STONEEDGE SECURE RESOURCES INC., Delinquent November 1, 2020
2017-04-12 | 20171285822 | Delinquent      | Carven Newsom             | SILVERLINE QUALITY GROUP INC., Delinquent February 1, 2025
2017-04-12 | 20171285829 | Delinquent      | Brian Brown               | QUALITY EDGE RESOURCES INC., Delinquent April 1, 2022
2017-06-19 | 20171452096 | Good Standing   |                           | BLACKROCK GROUP SERVICES INC.
2017-06-19 | 20171452630 | Delinquent      | Glenn N Braun             | TOP DYNAMIC BUSINESS INC., Delinquent March 1, 2024
2017-06-19 | 20171453015 | Delinquent      | Bruce Markes              | SOFTSKILLS SUPPORT GROUP INC., Delinquent March 1, 2024
2017-06-19 | 20171453030 | Delinquent      | Michael Daubney           | FRONTROW EXPERT SOLUTIONS INC., Delinquent March 1, 2023
2017-06-19 | 20171453134 | Noncompliant    | Momon Nikko               | BRIGHTSTAR QUALITY RESOURCES INC.
2017-06-19 | 20171451996 | Delinquent      | ARKADII TARANTIN          | GOLDENGATE SUPPORT SERVICES INC., Delinquent May 1, 2025
2017-06-19 | 20171452176 | Delinquent      | Jaylen Anderson           | WINDSTREAM TOP SERVICES INC., Delinquent October 1, 2023
2017-06-19 | 20171452681 | Delinquent      | VENECIA WILSON            | CONSUMER BUSINESS SERVICES INC., Delinquent October 1, 2024
2017-06-19 | 20171452055 | Delinquent      | John E Chupp              | CLEARWATER EXPRESS SERVICES INC., Delinquent March 1, 2024
2017-06-19 | 20171452082 | Delinquent      | Akossua Marie-Laure ADOM  | BLUEBAY BUSINESS SOLUTIONS INC., Delinquent April 1, 2023
2017-06-19 | 20171452135 | Delinquent      | HAROLD SPIVA III          | PURE ENERGY TECHNOLOGIES INC., Delinquent April 1, 2022
2017-06-19 | 20171452155 | Delinquent      | Vanity Robinson           | PRICEWORTH BUSINESS GROUP INC., Delinquent May 1, 2024
2017-06-19 | 20171452640 | Delinquent      | DIVINE-SEVEN EL           | BRIGHTWORK GENERAL SERVICES INC., Delinquent June 1, 2023
2017-06-19 | 20171452669 | Delinquent      | DAVID DORCE               | OFFSHORE QUALITY SYSTEMS INC., Delinquent December 1, 2021
2017-06-19 | 20171452702 | Delinquent      | NMAH KOBELE KEITA-KUMAKO  | FIRST POINT MANAGEMENT INC., Delinquent October 1, 2021
2017-06-19 | 20171452738 | Delinquent      | Erin A Lomakin            | LONGFIELD BUSINESS SERVICES INC., Delinquent November 1, 2022
2017-06-19 | 20171452768 | Delinquent      | TONY CHRISTOFER           | PROSOURCE TECHNOLOGY SYSTEMS INC., Delinquent August 1, 2023
2017-06-19 | 20171452789 | Delinquent      | KRISTINE LONERO           | SANDBOX GENERAL TECHNOLOGIES INC., Delinquent March 1, 2023
2017-06-19 | 20171452806 | Delinquent      | Kejuan Frazier            | SMART SOLUTIONS GROUP INC., Delinquent June 1, 2023
2017-06-19 | 20171452828 | Delinquent      | Larry Lewis               | SNOWBALL QUALITY SERVICES INC., Delinquent February 1, 2024
2017-06-19 | 20171452946 | Delinquent      | FREDERICK SCHMITZ         | ONSITE EXPERT SYSTEMS INC., Delinquent September 1, 2021
2017-06-19 | 20171453067 | Delinquent      | Andre Ester               | TECHWISE TECHNICAL SERVICES INC., Delinquent July 1, 2023
